Class,Role Stereotype,Design Smell,Cause of the Smell
com.eteks.sweethome3d.swing.HomeFurniturePanel,Interfacer,Feature Envy,The tool detected a instance of this smell because propertyChange is more interested in members of the type: NullableCheckBox
com.eteks.sweethome3d.swing.HomeFurniturePanel,Interfacer,Feature Envy,The tool detected a instance of this smell because stateChanged is more interested in members of the type: HomeFurnitureController
com.eteks.sweethome3d.swing.HomeFurniturePanel,Interfacer,Feature Envy,The tool detected a instance of this smell because changedUpdate is more interested in members of the type: HomeFurnitureController
com.eteks.sweethome3d.swing.HomeFurniturePanel,Interfacer,Feature Envy,The tool detected a instance of this smell because stateChanged is more interested in members of the type: HomeFurnitureController
com.eteks.sweethome3d.swing.HomeFurniturePanel,Interfacer,Feature Envy,The tool detected a instance of this smell because stateChanged is more interested in members of the type: HomeFurnitureController
com.eteks.sweethome3d.swing.HomeFurniturePanel,Interfacer,Feature Envy,The tool detected a instance of this smell because stateChanged is more interested in members of the type: HomeFurnitureController
com.eteks.sweethome3d.swing.HomeFurniturePanel,Interfacer,Feature Envy,The tool detected a instance of this smell because stateChanged is more interested in members of the type: HomeFurnitureController
com.eteks.sweethome3d.swing.HomeFurniturePanel,Interfacer,Feature Envy,The tool detected a instance of this smell because stateChanged is more interested in members of the type: HomeFurnitureController
com.eteks.sweethome3d.swing.HomeFurniturePanel,Interfacer,Feature Envy,The tool detected a instance of this smell because stateChanged is more interested in members of the type: HomeFurnitureController
com.eteks.sweethome3d.swing.HomeFurniturePanel,Interfacer,Feature Envy,The tool detected a instance of this smell because stateChanged is more interested in members of the type: HomeFurnitureController
com.eteks.sweethome3d.swing.HomeFurniturePanel,Interfacer,Feature Envy,The tool detected a instance of this smell because propertyChange is more interested in members of the type: NullableCheckBox
com.eteks.sweethome3d.swing.HomeFurniturePanel,Interfacer,Feature Envy,The tool detected a instance of this smell because stateChanged is more interested in members of the type: HomeFurnitureController
com.eteks.sweethome3d.swing.HomeFurniturePanel,Interfacer,Feature Envy,The tool detected a instance of this smell because stateChanged is more interested in members of the type: HomeFurnitureController
com.eteks.sweethome3d.swing.HomeFurniturePanel,Interfacer,Feature Envy,The tool detected a instance of this smell because stateChanged is more interested in members of the type: HomeFurnitureController
com.eteks.sweethome3d.swing.HomeFurniturePanel,Interfacer,Feature Envy,The tool detected a instance of this smell because stateChanged is more interested in members of the type: HomeFurnitureController
com.eteks.sweethome3d.swing.HomeFurniturePanel,Interfacer,Feature Envy,The tool detected a instance of this smell because propertyChange is more interested in members of the type: NullableCheckBox
com.eteks.sweethome3d.swing.HomeFurniturePanel,Interfacer,Feature Envy,The tool detected a instance of this smell because stateChanged is more interested in members of the type: HomeFurnitureController
com.eteks.sweethome3d.swing.HomeFurniturePanel,Interfacer,Feature Envy,The tool detected a instance of this smell because propertyChange is more interested in members of the type: NullableCheckBox
com.eteks.sweethome3d.swing.HomeFurniturePanel,Interfacer,Feature Envy,The tool detected a instance of this smell because stateChanged is more interested in members of the type: HomeFurnitureController
com.eteks.sweethome3d.swing.HomeFurniturePanel,Interfacer,Feature Envy,The tool detected a instance of this smell because stateChanged is more interested in members of the type: HomeFurnitureController
com.eteks.sweethome3d.swing.HomeFurniturePanel,Interfacer,Insufficient Modularization,The tool detected the smell in this class becuase the class has bloated interface (large number of public methods). Total public methods in the class: 59 public methods
com.eteks.sweethome3d.swing.HomePane,#N/A,Feature Envy,The tool detected a instance of this smell because popupMenuWillBecomeVisible is more interested in members of the type: UserPreferences
com.eteks.sweethome3d.swing.HomePane,#N/A,Feature Envy,The tool detected a instance of this smell because format is more interested in members of the type: UserPreferences
com.eteks.sweethome3d.swing.HomePane,#N/A,Feature Envy,The tool detected a instance of this smell because format is more interested in members of the type: UserPreferences
com.eteks.sweethome3d.swing.HomePane,#N/A,Feature Envy,The tool detected a instance of this smell because format is more interested in members of the type: UserPreferences
com.eteks.sweethome3d.swing.HomePane,#N/A,Feature Envy,The tool detected a instance of this smell because format is more interested in members of the type: UserPreferences
com.eteks.sweethome3d.swing.HomePane,#N/A,Unexploited Encapsulation,The tool detected the smell because a set of type checks are performed while those types belong to the same hierarchy. The participating types that were checked are: Label; HomePieceOfFurniture; Room; DimensionLine in method createBoldStyleToggleModel
com.eteks.sweethome3d.swing.HomePane,#N/A,Missing Hierarchy,The tool detected the smell because a set of type checks are performed to explicitly manage variation in behavior where a hierarchy could have been formed consisting of these participating types. The participating types that were checked are: Label; HomePieceOfFurniture; Room; DimensionLine in method createBoldStyleToggleModel
com.eteks.sweethome3d.swing.HomePane,#N/A,Rebellious Hierarchy,The tool detected the smell in this class because method(s) of this class reject the methods provided by its supertypes. The method(s) that reject the suptertype's method are: showNewHomeFromExampleDialog
com.eteks.sweethome3d.swing.HomePane,#N/A,Insufficient Modularization,The tool detected the smell in this class becuase the class has bloated interface (large number of public methods). Total public methods in the class: 147 public methods
com.eteks.sweethome3d.swing.HomePane$MenuActionType,#N/A,Unnecessary Abstraction,"The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: "
