Class,Role Stereotype,Design Smells
com.eteks.sweethome3d.swing.ImportedFurnitureWizardStepsPanel$IconPreviewComponent,Interfacer,Broken Hierarchy; 
com.eteks.sweethome3d.swing.ImportedTextureWizardStepsPanel,Interfacer,Unutilized Abstraction; Feature Envy; Broken Hierarchy; Insufficient Modularization; 
com.eteks.sweethome3d.swing.InterruptedPrinterException,Service Provider,Unutilized Abstraction; 
com.eteks.sweethome3d.swing.JPEGImagesToVideo,Service Provider,Unutilized Abstraction; 
com.eteks.sweethome3d.swing.LabelPanel,Interfacer,Unutilized Abstraction; Feature Envy; 
com.eteks.sweethome3d.swing.LevelPanel,Interfacer,Unutilized Abstraction; Feature Envy; Insufficient Modularization; 
com.eteks.sweethome3d.swing.LevelPanel$LevelsTableModel,Structurer,Unutilized Abstraction; 
com.eteks.sweethome3d.swing.ModelMaterialsComponent,Interfacer,Unutilized Abstraction; Broken Hierarchy; 
com.eteks.sweethome3d.swing.ModelMaterialsComponent$ModelMaterialsPanel,Interfacer,Feature Envy; Insufficient Modularization; 
com.eteks.sweethome3d.swing.ModelMaterialsComponent$ModelMaterialsPanel$MaterialListCellRenderer,#N/A,Unutilized Abstraction; 
com.eteks.sweethome3d.swing.ModelPreviewComponent,Interfacer,Insufficient Modularization; 
com.eteks.sweethome3d.swing.ModelPreviewComponent$JCanvas3DWithNotifiedPaint,Service Provider,Unutilized Abstraction; 
com.eteks.sweethome3d.swing.MultipleLevelsPlanPanel,Interfacer,Insufficient Modularization; 
com.eteks.sweethome3d.swing.MultipleLevelsPlanPanel$LanguageChangeListener,Service Provider,Unutilized Abstraction; 
com.eteks.sweethome3d.swing.MultipleLevelsPlanPanel$LevelLabel,Information Holder,Unutilized Abstraction; 
com.eteks.sweethome3d.swing.NullableCheckBox,Interfacer,Deficient Encapsulation; 
com.eteks.sweethome3d.swing.NullableSpinner$NullableSpinnerDateModel,Information Holder,Unutilized Abstraction; 
com.eteks.sweethome3d.swing.NullableSpinner$NullableSpinnerLengthModel,Information Holder,Broken Hierarchy; 
com.eteks.sweethome3d.swing.ObserverCameraPanel,Interfacer,Unutilized Abstraction; 
com.eteks.sweethome3d.swing.PageSetupPanel,Interfacer,Unutilized Abstraction; 
com.eteks.sweethome3d.swing.PhotoPanel,Interfacer,Feature Envy; Insufficient Modularization; 
com.eteks.sweethome3d.swing.PhotoPanel$ActionType,Information Holder,Unnecessary Abstraction; Unutilized Abstraction; 
com.eteks.sweethome3d.swing.PhotoPanel$LanguageChangeListener,Service Provider,Unutilized Abstraction; 
com.eteks.sweethome3d.swing.PhotoSizeAndQualityPanel,Interfacer,Insufficient Modularization; 
com.eteks.sweethome3d.swing.PhotoSizeAndQualityPanel$LanguageChangeListener,Service Provider,Unutilized Abstraction; 
com.eteks.sweethome3d.swing.PhotosPanel,Interfacer,Insufficient Modularization; 
com.eteks.sweethome3d.swing.PhotosPanel$ActionType,Information Holder,Unnecessary Abstraction; Unutilized Abstraction; 
com.eteks.sweethome3d.swing.PhotosPanel$LanguageChangeListener,Service Provider,Unutilized Abstraction; 
com.eteks.sweethome3d.swing.PhotosPanel$CamerasListModel,Structurer,Unutilized Abstraction; 
com.eteks.sweethome3d.swing.PlanComponent,Controller,Deficient Encapsulation; Unexploited Encapsulation; Missing Hierarchy; Rebellious Hierarchy; Cyclically-dependent Modularization; Insufficient Modularization; 
com.eteks.sweethome3d.swing.PlanComponent$PaintMode,Information Holder,Unnecessary Abstraction; 
com.eteks.sweethome3d.swing.PlanComponent$ActionType,Information Holder,Unnecessary Abstraction; Unutilized Abstraction; 
com.eteks.sweethome3d.swing.PlanComponent$IndicatorType,Information Holder,Deficient Encapsulation; 
com.eteks.sweethome3d.swing.PlanComponent$UserPreferencesChangeListener,Service Provider,Unutilized Abstraction; 
com.eteks.sweethome3d.swing.PlanComponent$MoveSelectionAction,#N/A,Unutilized Abstraction; 
com.eteks.sweethome3d.swing.PlanComponent$ToggleMagnetismAction,#N/A,Unutilized Abstraction; 
com.eteks.sweethome3d.swing.PlanComponent$SetAlignmentActivatedAction,#N/A,Unutilized Abstraction; 
com.eteks.sweethome3d.swing.PlanComponent$SetDuplicationActivatedAction,#N/A,Unutilized Abstraction; 
com.eteks.sweethome3d.swing.PlanComponent$SetEditionActivatedAction,#N/A,Unutilized Abstraction; 
com.eteks.sweethome3d.swing.PlanComponent$PlanRulerComponent,Interfacer,Broken Hierarchy; 
com.eteks.sweethome3d.swing.PlanComponent$PieceOfFurnitureModelIcon,Information Holder,Broken Hierarchy; 
com.eteks.sweethome3d.swing.PlanTransferHandler,Service Provider,Broken Hierarchy; 
com.eteks.sweethome3d.swing.PolylinePanel,Interfacer,Unutilized Abstraction; Insufficient Modularization; 
com.eteks.sweethome3d.swing.PrintPreviewPanel,Interfacer,Unutilized Abstraction; 
com.eteks.sweethome3d.swing.PrintPreviewPanel$ActionType,Information Holder,Unnecessary Abstraction; Unutilized Abstraction; 
com.eteks.sweethome3d.swing.PrintPreviewPanel$HigherInsetsButton,#N/A,Unutilized Abstraction; 
com.eteks.sweethome3d.swing.ProportionalLayout$Constraints,Information Holder,Unnecessary Abstraction; 
com.eteks.sweethome3d.swing.ResourceAction,Service Provider,Deficient Encapsulation; 
com.eteks.sweethome3d.swing.ResourceAction$LanguageChangeListener,Service Provider,Unutilized Abstraction; 
com.eteks.sweethome3d.swing.ResourceAction$PopupMenuItemAction,Service Provider,Unutilized Abstraction; 
com.eteks.sweethome3d.swing.ResourceAction$ButtonAction,Service Provider,Unutilized Abstraction; 
com.eteks.sweethome3d.swing.RoomPanel,Interfacer,Unutilized Abstraction; Feature Envy; Insufficient Modularization; 
com.eteks.sweethome3d.swing.SwingTools,Service Provider,Insufficient Modularization; 
com.eteks.sweethome3d.swing.SwingTools$MenuItemsVisibilityListener,Service Provider,Unutilized Abstraction; 
com.eteks.sweethome3d.swing.SwingViewFactory,Service Provider,Insufficient Modularization; 
com.eteks.sweethome3d.swing.TextureChoiceComponent,Interfacer,Unutilized Abstraction; 
com.eteks.sweethome3d.swing.TextureChoiceComponent$TexturePanel,Interfacer,Insufficient Modularization; 
com.eteks.sweethome3d.swing.TextureChoiceComponent$TexturePanel$TextureListCellRenderer,#N/A,Unutilized Abstraction; 
com.eteks.sweethome3d.swing.TextureChoiceComponent$TexturePanel$TexturesCatalogListener,#N/A,Unutilized Abstraction; 
com.eteks.sweethome3d.swing.ThreadedTaskPanel,Interfacer,Unutilized Abstraction; 
com.eteks.sweethome3d.swing.UserPreferencesPanel,Interfacer,Insufficient Modularization; 
com.eteks.sweethome3d.swing.UserPreferencesPanel$SupportedLanguagesChangeListener,Service Provider,Unutilized Abstraction; 
com.eteks.sweethome3d.swing.UserPreferencesPanel$AutoCommitLengthSpinner,Interfacer,Broken Hierarchy; 
com.eteks.sweethome3d.swing.VideoPanel,Interfacer,Feature Envy; Insufficient Modularization; 
com.eteks.sweethome3d.swing.VideoPanel$ActionType,Information Holder,Unnecessary Abstraction; Unutilized Abstraction; 
com.eteks.sweethome3d.swing.VideoPanel$LanguageChangeListener,Service Provider,Unutilized Abstraction; 
com.eteks.sweethome3d.swing.VisualTransferHandler$DragListenerWithVisualRepresentation,Service Provider,Unutilized Abstraction; 
com.eteks.sweethome3d.swing.WallPanel,Interfacer,Unutilized Abstraction; Feature Envy; Insufficient Modularization; 
com.eteks.sweethome3d.swing.WizardPane,Interfacer,Unutilized Abstraction; 
com.eteks.sweethome3d.tools.ResourceURLContent,Service Provider,Broken Hierarchy; 
com.eteks.sweethome3d.tools.TemporaryURLContent,Service Provider,Broken Hierarchy; 
com.eteks.sweethome3d.viewcontroller.AbstractPhotoController,Controller,Broken Hierarchy; Cyclically-dependent Modularization; Insufficient Modularization; 
com.eteks.sweethome3d.viewcontroller.AbstractPhotoController$Property,Information Holder,Unnecessary Abstraction; 
com.eteks.sweethome3d.viewcontroller.BackgroundImageWizardController,Controller,Broken Hierarchy; Multipath Hierarchy; Cyclically-dependent Modularization; 
com.eteks.sweethome3d.viewcontroller.BackgroundImageWizardController$Property,Information Holder,Unnecessary Abstraction; Unutilized Abstraction; 
com.eteks.sweethome3d.viewcontroller.BackgroundImageWizardController$Step,Information Holder,Unnecessary Abstraction; 
